region,prefix,subarea,n_checks,proposed_grace,confidence,sample_check,tiles,alternates
Raya Lucaria Academy,RLA,SC,21,Schoolhouse Classroom,HIGH,RLA/SC: Memory Stone - boss drop,m14_00_00,South Raya Lucaria Gate(52)
Raya Lucaria Academy Chest,RLA,RLGL,1,Raya Lucaria Grand Library,HIGH,"RLA/RLGL: Dark Moon Ring - in chest, requires Discarded Palace Key",m14_00_00,
Raya Lucaria Academy Library,RLA,RLGL,4,Raya Lucaria Grand Library,HIGH,"RLA/RLGL: Shard Spiral - side with Sellen, sold in shop",m14_00_00,
Raya Lucaria Academy Main,RLA,DB,33,Debate Parlor,LOW,"RLA/DB: Cracked Pot - outside, to left up S stairs item 2",m14_00_00,
Recluses' River,RR,CWH,11,Castle Watering Hole,HIGH,RR/CWH: Furnace Visage 1 - to S in SW furnace golem bodies,m61_49_46 m61_49_47 m61_50_46,
Recluses' River,RR,RRD,15,Recluses' River Downstream,HIGH,RR/RRD: Glass Shard - NE after going down half of gravestones,m61_50_44 m61_50_45 m61_51_44,
Recluses' River,RR,RRU,4,Recluses' River Upstream,HIGH,RR/RRU: Smithing Stone [3] x2 - on a ledge above RRD grace,m61_50_44 m61_50_45,
Recluses' River,RR,RU,5,Recluses' River Upstream,LOW,RR/RU: Ember of Messmer x5 - on building S of RU,m61_50_46,Recluses' River Downstream(52)
Ruin-Strewn Precipice,RSP,RSP,14,Ruin-Strewn Precipice,HIGH,RSP/RSP: Somber Smithing Stone [4] - scarab to S,m39_20_00,Ruin-Strewn Precipice Overlook(98)
Ruin-Strewn Precipice,RSP,RSPO,6,Ruin-Strewn Precipice Overlook,HIGH,RSP/RSPO: Magma Wyrm's Scalesword - boss drop,m39_20_00,
Ruin-Strewn Precipice,RSP,RVV,7,,NONE,RSP/RVV: Golden Rune [1] - up to cave before elevator behind pillar,m39_20_00,
Scadu Altus,SA,BFR,1,Behind the Fort of Reprimand,HIGH,SA/BFR: Smithing Stone [8] x4 - in chest up ladder to N,m61_49_43,
Scadu Altus,SA,BLV,3,Bridge Leading to the Village,LOW,SA/BLV: Cerulean-Sapping Cracked Tear - furnace golem to NE along path,m61_51_45,
Scadu Altus,SA,BV,3,Bonny Village,HIGH,SA/BV: Hefty Cracked Pot - to SE by pot,m61_50_44 m61_50_45,Bridge Leading to the Village(52)
Scadu Altus,SA,CC,2,Cocoon of the Empyrean,LOW,"SA/CC: Forager Brood Cookbook [4] - N of CC, given by friendly Kindred of R",m61_47_46,Castle-Lord's Chamber(52) | Castle Ensis Checkpoint(52)
Scadu Altus,SA,CDH,6,Castle-Lord's Chamber,LOW,"SA/CDH: Ash of War: Carian Sovereignty - to SW, down right path, in cave ne",m61_50_45 m61_50_47 m61_51_46,
Scadu Altus,SA,CMM,4,Cathedral of Manus Metyr,HIGH,SA/CMM: Cherishing Fingers - in graveyard W of CMM after Ymir dead,m61_50_45 m61_51_45,
Scadu Altus,SA,FR,18,Fort of Reprimand,HIGH,"SA/FR: Battlefield Priest's Cookbook [2] - in chest to S inside, very top o",m61_49_43 m61_50_43,
Scadu Altus,SA,HC,31,Highroad Cross,HIGH,SA/HC: Lacerating Crossed-Tree - given by Leda after invading Hornsent alon,m12_05_00 m21_01_00 m61_47_44 m61_47_45 m61_48_44 m61_48_45 m61_48_46 m61_49_45 m61_49_46 m61_49_47,
Scadu Altus,SA,MHS,1,"Moorth Highway, South",HIGH,SA/MHS: Rune Arc - to SW along cliff,m61_49_43,Moorth Ruins(53)
Scadu Altus,SA,MR,21,Moorth Ruins,HIGH,SA/MR: Shadow Realm Rune [2] - to SW in pond by tree,m61_48_44 m61_48_45 m61_48_46 m61_49_43 m61_49_44 m61_49_45 m61_49_46,"Moorth Highway, South(52) | Messmer's Dark Chamber(52)"
Scadu Altus,SA,RFSP,7,,NONE,SA/RFSP: Forager Brood Cookbook [1] - given by friendly Kindred of Rot NW o,m61_48_44 m61_49_44,
Scadu Altus,SA,SAW,1,"Scadu Altus, West",HIGH,"SA/SAW: Grave Glovewort [4] - to S by grave down below, cross river and hea",m61_47_44,Scaduview Cross(53)
Scadu Altus,SA,SC,1,Scaduview Cross,HIGH,SA/SC: Scadutree Fragment - by cross,m61_50_43,"Storehouse, Back Section(52) | Scadu Altus, West(52)"
Scadutree Base,SK,TWS,2,,NONE,SK/TWS: Remembrance of the Shadow Sunflower - mainboss drop,m61_50_48,
Scaduview,SV,SKBG,2,"Shadow Keep, Back Gate",HIGH,SV/SKBG: Remembrance of the Wild Boar Rider - mainboss drop,m61_49_48,
Shadow Keep,SK,MGP,21,Main Gate Plaza,HIGH,SK/MGP: Leda's Rune - on Leda's body after invading her alongside Hornsent,m21_00_00,
Shadow Keep,SK,SKMG,2,Shadow Keep Main Gate,HIGH,SK/SKMG: Aspects of the Crucible: Thorns - boss drop,m21_00_00,
Shadow Keep Storehouse,SK,DCE,7,Dark Chamber Entrance,HIGH,SK/DCE: Remembrance of the Impaler - mainboss drop,m21_01_00,
Shadow Keep Storehouse,SK,SFiF,21,"Storehouse, First Floor",HIGH,SK/SFiF: Ansbach's Longbow - on Leda's body after invading her alongside An,m21_01_00,"Storehouse, Fourth Floor(100)"
Shadow Keep Storehouse,SK,SFoF,12,"Storehouse, Fourth Floor",HIGH,SK/SFoF: Storehouse Cross Message - by cross,m21_01_00,"Storehouse, First Floor(100)"
Shadow Keep Storehouse,SK,SSF,7,"Storehouse, Seventh Floor",HIGH,SK/SSF: Golden Lion Shield - given by Freyja after giving her Letter for Fr,m21_01_00,"Storehouse, Loft(53) | Storehouse, Fourth Floor(53) | Storehouse, First Floor(53)"
Shadow Keep Storehouse Back,SK,SBS,6,"Storehouse, Back Section",HIGH,SK/SBS: Somber Smithing Stone [9] - to NE by elevator,m21_01_00,
Shadow Keep Storehouse Back,SK,SL,8,"Storehouse, Loft",HIGH,SK/SL: Shadow Sunflower x6 - outside to left on lower scaffolding,m21_01_00,"Storehouse, Seventh Floor(52) | Storehouse, Fourth Floor(52) | Storehouse, First Floor(52)"
"Shadow Keep, Church District",SK,CDE,15,Church District Entrance,HIGH,"SK/CDE: Fire Knight Queelign - on Queelign, give Iris of Grace, in room wit",m21_00_00,
"Shadow Keep, Church District Lower",SK,SC,17,Sunken Chapel,HIGH,SK/SC: Battlefield Priest's Cookbook [1] - in right wing of church above on,m21_00_00,
"Shadow Keep, Church District Lower",SK,TWS,2,Tree-Worship Sanctum,HIGH,SK/TWS: Iris of Grace - to S by statue,m21_00_00,Tree-Worship Passage(53)
"Shadow Keep, West Rampart",SK,SFF,8,,NONE,"SK/SFF: Hefty Cracked Pot - to NW down elevator, on bed",m21_02_00,
"Shadow Keep, West Rampart",SK,WR,10,West Rampart,HIGH,"SK/WR: Smithing Stone [3] - to W, on bridge",m21_02_00,
Siofra River,SR,BW,6,Below the Well,HIGH,SR/BW: Golden Seed - to SW across rock bridge under seedtree,m12_02_00,
Siofra River,SR,SRB,18,Siofra River Bank,HIGH,SR/SRB: Map: Siofra River - to SE by bottom of stairs,m12_02_00 m12_07_00,
Siofra River,SR,SRWD,18,Siofra River Well Depths,HIGH,SR/SRWD: Oracle Bubbles - scarab on statue in ruins,m12_07_00,
Siofra River,SR,WW,38,Worshippers' Woods,HIGH,SR/WW: Shotel - Abandoned Merchant to W in upper interior area,m12_02_00,
Stone Coffin Fissure,SCF,FC,9,Fissure Cross,HIGH,SCF/FC: Scadutree Fragment - by cross,m22_00_00,
Stone Coffin Fissure,SCF,FD,1,Fissure Depths,HIGH,SCF/FD: Remembrance of Putrescence - mainboss drop,m22_00_00,
Stone Coffin Fissure,SCF,FW,7,Fissure Waypoint,HIGH,SCF/FW: Grave Glovewort [7] - to S on left boat,m22_00_00,
Stone Coffin Fissure,SCF,GDP,3,Garden of Deep Purple,HIGH,SCF/GDP: St. Trina Disciple's Cookbook [3] - right of St. Trina,m22_00_00,
Stone Coffin Fissure,SCF,SCF,2,Stone Coffin Fissure,HIGH,SCF/SCF: Congealed Putrescence x5 - to S up right path on ledge,m22_00_00,
Stormhill,LG,DC,1,Dragonlord Placidusax,LOW,LG/DC: Lance Talisman - NE of DC,m60_43_40,
Stormhill,LG,LC,7,,NONE,LG/LC: Scaled Helm - invade Istvan SE of colo,m60_42_39 m60_42_40,
Stormhill,LG,SB,2,Subterranean Inquisition Chamber,LOW,LG/SB: Exalted Flesh - help Alexander to S,m13_00_00,
Stormhill,LG,SS,4,Stormhill Shack,HIGH,LG/SS: Ash of War: Wild Strikes - scarab NW of SS,m60_41_38 m60_41_39,Subterranean Inquisition Chamber(52)
Stormhill,LG,SV,6,,NONE,LG/SV: Smithing Stone [1] - S of first SV boss arena W side,m60_40_38 m60_40_39 m60_41_38,
Stormhill,LG,WS,5,Warmaster's Shack,HIGH,LG/WS: Blue-Feathered Branchsword - night boss drop SE of WS,m60_42_38 m60_42_39,
Stormveil Castle,SV,GC,7,Gateside Chamber,HIGH,SV/GC: Smithing Stone [1] - on raised platform to NW,m10_00_00,Godrick the Grafted(52)
Stormveil Castle,SV,LC,32,Liftside Chamber,HIGH,"SV/LC: Rancorcall - shortcut door to W, scarab at bottom to S",m10_00_00,
Stormveil Castle,SV,LTB,3,Liftside Chamber,LOW,SV/LTB: Somber Smithing Stone [1] - enemy drop to SW,m10_00_00,
Stormveil Castle,SV,RT,37,Rampart Tower,HIGH,"SV/RT: Ash of War: Spinning Weapon - Rogier shop, in church or RH later",m10_00_00,
Stormveil Castle,SV,SMG,17,Stormveil Main Gate,HIGH,"SV/SMG: Caestus - Gostoc shop, after main gate open",m10_00_00,
Stormveil Castle,SV,SeC,16,Stormveil Cliffside,MED,SV/SeC: Godrick's Great Rune - mainboss drop,m10_00_00,Secluded Cell(153)
Stormveil Castle,SV,StC,5,Stormveil Cliffside,HIGH,SV/StC: Brick Hammer - follow outside wood walkway at top of big long room,m10_00_00,Secluded Cell(100)
Stormveil Start,SV,CT,1,Castleward Tunnel,HIGH,SV/CT: Talisman Pouch - boss drop,m10_00_00,
Stormveil Start,SV,SMG,5,Stormveil Main Gate,HIGH,SV/SMG: Furlcalling Finger Remedy - down stairs to NE,m10_00_00,
Stormveil Start,SV,StC,12,Stormveil Cliffside,HIGH,"SV/StC: Grace Mimic - talk to Gostoc in stalking spot, to SE and above SC g",m10_00_00,Secluded Cell(100)
Stormveil Throne,SV,GG,3,Godrick the Grafted,HIGH,SV/GG: Ancient Dragon Smithing Stone - Gostoc shop after finishing Nepheli ,m10_00_00,
Stormveil Throne,SV,LL,1,,NONE,"SV/LL: Shabriri Grape - from LL/LFC to E, inside by ghost",m10_00_00,
Subterranean Shunning-Grounds,SSG,FD,6,Forsaken Depths,HIGH,SSG/FD: Ritual Pot - up elevator in corner,m35_00_00,Frenzied Flame Proscription(52)
Subterranean Shunning-Grounds,SSG,LC,6,Leyndell Catacombs,HIGH,"SSG/LC: Mohg's Shackle - bottom of big room with pipes, SE wall item",m35_00_00,
Subterranean Shunning-Grounds,SSG,UR,50,Underground Roadside,HIGH,SSG/UR: Mending Rune of the Fell Curse - give Dung Eater 5 seedbed curses,m35_00_00,
Volcano Manor,VM,GH,19,Guest Hall,HIGH,VM/GH: Godskin Stitcher - boss drop,m16_00_00,
Volcano Manor,VM,PTC,18,Prison Town Church,HIGH,VM/PTC: Somber Smithing Stone [5] - scarab on NW lower rooftop,m16_00_00,
Volcano Manor,VM,TE,1,Temple of Eiglay,HIGH,VM/TE: Serpent's Amnion - on the altar,m16_00_00,
Volcano Manor Drawing Room,VM,VM,22,Volcano Manor,HIGH,VM/VM: Gelmir's Fury - Bernahl reward,m13_00_00 m16_00_00,
Volcano Manor Dungeon,(VM),RLA,1,"Rykard, Lord of Blasphemy",LOW,(VM)/RLA: Smoldering Butterfly x5 - to E after warp,m16_00_00,
Volcano Manor Dungeon,(VM),SIC,3,Subterranean Inquisition Chamber,HIGH,"(VM)/SIC: Inquisitor's Girandole - boss drop, from RLA warp",m16_00_00,
Volcano Manor Entrance,VM,VM,5,Volcano Manor,HIGH,VM/VM: Drawing-Room Key - join volcano manor,m16_00_00,
Volcano Manor Upper,VM,AP,3,Audience Pathway,HIGH,VM/AP: Rykard's Great Rune - mainboss drop,m16_00_00,
Volcano Manor Upper,VM,RLB,4,"Rykard, Lord of Blasphemy",HIGH,VM/RLB: Consort's Mask - kill Tanith,m16_00_00,
Volcano Manor Upper,VM,TE,17,Temple of Eiglay,HIGH,"VM/TE: Missionary's Cookbook [6] - E of shortcut elevator, inside lower par",m16_00_00,
Weeping Peninsula,WP,AV,2,Ailing Village Outskirts,MED,"WP/AV: Yellow Ember - on way to AV, W of AV",m60_43_32 m60_43_33,
Weeping Peninsula,WP,BCPG,1,Beside the Crater-Pocked Glade,HIGH,WP/BCPG: Stonesword Key - head far N,m60_45_34,
Weeping Peninsula,WP,BS,2,Bridge of Sacrifice,HIGH,WP/BS: Irina's Letter - talk to Irina to SE,m35_00_00 m60_43_31,Beside the Rampart Gaol(52) | Beside the Crater-Pocked Glade(52) | Behind the Castle(52)
Weeping Peninsula,WP,CM,6,Castle Morne Rampart,MED,WP/CM: Golden Rune [1] - NW of CM,m60_43_31 m60_44_31 m60_44_32,Castle Morne Lift(97) | Church of Pilgrimage(52)
Weeping Peninsula,WP,CMR,28,Castle Morne Rampart,HIGH,WP/CMR: Map: Weeping Peninsula - to SW,m60_44_32 m60_44_33,Castle Morne Lift(53)
Weeping Peninsula,WP,CP,3,Church of Pilgrimage,HIGH,WP/CP: Warhawk Ashes - \,m60_42_35,Castle Morne Rampart(52)
Weeping Peninsula,WP,DHFR,3,,NONE,WP/DHFR: Faith-knot Crystal Tear - N of DHFR,m60_43_34,
Weeping Peninsula,WP,EC,1,,NONE,WP/EC: Rainbow Stone - SE of EC,m60_44_34,
Weeping Peninsula,WP,FLT,2,Frenzied Flame Proscription,LOW,WP/FLT: Golden Rune [1] x3 1 - E of FLT,m60_44_34,
Weeping Peninsula,WP,ME,6,,NONE,"WP/ME: Eclipse Crest Heater Shield - W of ME, drop off 2 ledges",m60_42_33 m60_43_32 m60_43_33,
Weeping Peninsula,WP,MT,1,,NONE,WP/MT: Golden Rune [2] - N of MT under bridge,m60_43_33,
Weeping Peninsula,WP,OR,1,,NONE,WP/OR: Starlight Shards - E of OR,m60_45_33,
Weeping Peninsula,WP,SLT,1,South of the Lookout Tower,HIGH,WP/SLT: Rainbow Stone x5 - to SE,m60_44_33,
Weeping Peninsula,WP,ToR,8,Tombsward Cave,LOW,WP/ToR: Golden Rune [1] 1 - graveyard W of ToR,m60_41_32 m60_42_32,Tombsward(53)
Weeping Peninsula,WP,TwR,2,Tombsward Cave,LOW,"WP/TwR: Divine Fortification - scarab SW of TwR, high on ruin",m60_42_33 m60_42_34,Tombsward(53)
Weeping Peninsula,WP,WR,2,,NONE,WP/WR: Golden Rune [1] - W of WR on beach,m60_41_33,
